tag,collection_year,collection_month,collection_date,broodstock,set_date,distribution_date,total_live,clumps,shell_height_mm,organization,Site,,,,,,,,,,,,,,,shell_height_mm
,2018,7,7/22/18,GK,3/28/17,7/13/18,46,1,40,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,7,7/22/18,GK,3/28/17,7/13/18,46,1,44,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,7,7/22/18,GK,3/28/17,7/13/18,46,2,35,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,7,7/22/18,GK,3/28/17,7/13/18,46,2,21,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,7,7/22/18,GK,3/28/17,7/13/18,46,2,19,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,7,7/22/18,GK,3/28/17,7/13/18,46,2,45,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,7,7/22/18,GK,3/28/17,7/13/18,46,2,34,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,7,7/22/18,GK,3/28/17,7/13/18,46,2,26,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,7,7/22/18,GK,3/28/17,7/13/18,46,3,35,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,7,7/22/18,GK,3/28/17,7/13/18,46,3,26,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,7,7/22/18,GK,3/28/17,7/13/18,46,3,39,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,7,7/22/18,GK,3/28/17,7/13/18,46,3,30,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,7,7/22/18,GK,3/28/17,7/13/18,46,3,44,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,7,7/22/18,GK,3/28/17,7/13/18,46,3,38,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,7,7/22/18,GK,3/28/17,7/13/18,46,3,33,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
